id_funcionario,dni_funcionario,id_entidad
F000,17541866,E03
F001,53024997,E05
F002,74120828,E16
F003,78260871,E17
F004,26114979,E10
F005,26551880,E08
F006,12618878,E06
F007,19888350,E11
F008,48839672,E10
F009,48276229,E05
F010,35964559,E00
F011,31696880,E02
F012,68085281,E17
F013,42202374,E07
F014,66577602,E08
F015,77424829,E08
F016,32199722,E14
F017,24191681,E01
F018,76702956,E01
F019,54438175,E04
F020,30364248,E08
F021,53530198,E12
F022,46053998,E08
F023,73387252,E07
F024,27917556,E16
F025,79396795,E02
F026,75523048,E10
F027,22649139,E09
F028,21522547,E08
F029,47320977,E14
F030,13143743,E04
F031,30915856,E17
F032,40456793,E05
F033,77856130,E09
F034,79466288,E09
F035,20607795,E15
F036,72417407,E07
F037,16365017,E05
F038,62402560,E00
F039,69194988,E06
F040,72355473,E14
F041,25639255,E00
F042,72541263,E16
F043,18118663,E09
F044,46320084,E02
F045,42868170,E05
F046,32115033,E09
F047,11547992,E05
F048,64040869,E01
F049,33490855,E11
F050,56316287,E12
F051,38715394,E02
F052,36156040,E05
F053,72040713,E04
F054,16612666,E11
F055,61563214,E13
F056,62275272,E13
F057,36599401,E16
F058,28372235,E13
F059,10371495,E05
