id_funcionario,dni_funcionario,id_entidad,telefono,direccion
F000,17541866,E03,939174930,"Calle Los Pinos 872, Pueblo Libre"
F001,53024997,E05,929997719,"Av. La Marina 621, La Molina"
F002,74120828,E16,911026137,"Av. Javier Prado 847, Lince"
F003,78260871,E17,927599425,"Av. Arequipa 709, Surco"
F004,26114979,E10,935602980,"Av. Javier Prado 440, La Molina"
F005,26551880,E08,989082178,"Av. Los Álamos 264, San Borja"
F006,12618878,E06,956229580,"Av. La Marina 672, Surco"
F007,19888350,E11,927805789,"Jr. Las Begonias 487, Jesús María"
F008,48839672,E10,950886167,"Calle Las Camelias 558, San Borja"
F009,48276229,E05,985166345,"Av. La Marina 502, Barranco"
F010,35964559,E00,977525818,"Av. La Marina 321, Jesús María"
F011,31696880,E02,993992297,"Av. Arequipa 952, Surco"
F012,68085281,E17,973658384,"Calle Las Camelias 869, San Borja"
F013,42202374,E07,919778281,"Av. La Marina 339, San Borja"
F014,66577602,E08,959811309,"Calle Las Camelias 379, La Molina"
F015,77424829,E08,948226577,"Calle Las Camelias 716, Miraflores"
F016,32199722,E14,982634116,"Av. Los Álamos 300, Pueblo Libre"
F017,24191681,E01,923859934,"Jr. Las Begonias 381, Jesús María"
F018,76702956,E01,951923455,"Calle Los Pinos 167, Miraflores"
F019,54438175,E04,984306901,"Calle Las Camelias 477, Surco"
F020,30364248,E08,965834688,"Av. Arequipa 518, Pueblo Libre"
F021,53530198,E12,913421154,"Jr. Las Begonias 525, Pueblo Libre"
F022,46053998,E08,983702496,"Av. Arequipa 708, La Molina"
F023,73387252,E07,943013154,"Av. Arequipa 435, Lince"
F024,27917556,E16,971028246,"Av. Javier Prado 371, Surco"
F025,79396795,E02,968795660,"Av. Javier Prado 384, Jesús María"
F026,75523048,E10,967764552,"Jr. Cusco 821, Magdalena"
F027,22649139,E09,947541945,"Av. Javier Prado 150, Miraflores"
F028,21522547,E08,946551584,"Jr. Cusco 635, Pueblo Libre"
F029,47320977,E14,919055557,"Calle Los Pinos 500, Surco"
F030,13143743,E04,960249110,"Av. Los Álamos 229, Lince"
F031,30915856,E17,936183311,"Av. Javier Prado 321, San Borja"
F032,40456793,E05,945647439,"Jr. Cusco 443, San Borja"
F033,77856130,E09,925060389,"Av. La Marina 672, Pueblo Libre"
F034,79466288,E09,976986302,"Av. La Marina 361, La Molina"
F035,20607795,E15,993059156,"Jr. Las Begonias 571, Pueblo Libre"
F036,72417407,E07,944238713,"Jr. Cusco 247, Surco"
F037,16365017,E05,948140601,"Av. Los Álamos 964, San Borja"
F038,62402560,E00,951995903,"Av. La Marina 872, San Borja"
F039,69194988,E06,916489174,"Jr. Las Begonias 330, San Borja"
F040,72355473,E14,977991137,"Av. Los Álamos 676, La Molina"
F041,25639255,E00,989285371,"Calle Las Camelias 793, San Borja"
F042,72541263,E16,955329021,"Jr. Cusco 825, Miraflores"
F043,18118663,E09,915565864,"Jr. Las Begonias 223, San Isidro"
F044,46320084,E02,940422931,"Av. La Marina 813, Magdalena"
F045,42868170,E05,924183668,"Calle Los Pinos 538, Magdalena"
F046,32115033,E09,984413703,"Calle Las Camelias 353, Lince"
F047,11547992,E05,982012532,"Av. Javier Prado 658, Pueblo Libre"
F048,64040869,E01,944286633,"Av. Arequipa 455, Magdalena"
F049,33490855,E11,943877800,"Av. Los Álamos 409, Surco"
F050,56316287,E12,986025618,"Av. La Marina 910, La Molina"
F051,38715394,E02,917995444,"Av. Los Álamos 539, San Isidro"
F052,36156040,E05,980671635,"Jr. Las Begonias 444, La Molina"
F053,72040713,E04,996614792,"Jr. Las Begonias 675, La Molina"
F054,16612666,E11,950255993,"Jr. Las Begonias 839, Miraflores"
F055,61563214,E13,977888565,"Av. La Marina 256, Barranco"
F056,62275272,E13,974160183,"Av. La Marina 879, Barranco"
F057,36599401,E16,990693436,"Jr. Las Begonias 123, San Isidro"
F058,28372235,E13,913095072,"Jr. Las Begonias 460, Miraflores"
F059,10371495,E05,973494142,"Calle Las Camelias 526, Pueblo Libre"
