id_funcionario,dni_funcionario,id_entidad
F000,SYN-DNI-17541866,E03
F001,SYN-DNI-53024997,E05
F002,SYN-DNI-74120828,E16
F003,SYN-DNI-78260871,E17
F004,SYN-DNI-26114979,E10
F005,SYN-DNI-26551880,E08
F006,SYN-DNI-12618878,E06
F007,SYN-DNI-19888350,E11
F008,SYN-DNI-48839672,E10
F009,SYN-DNI-48276229,E05
F010,SYN-DNI-35964559,E00
F011,SYN-DNI-31696880,E02
F012,SYN-DNI-68085281,E17
F013,SYN-DNI-42202374,E07
F014,SYN-DNI-66577602,E08
F015,SYN-DNI-77424829,E08
F016,SYN-DNI-32199722,E14
F017,SYN-DNI-24191681,E01
F018,SYN-DNI-76702956,E01
F019,SYN-DNI-54438175,E04
F020,SYN-DNI-30364248,E08
F021,SYN-DNI-53530198,E12
F022,SYN-DNI-46053998,E08
F023,SYN-DNI-73387252,E07
F024,SYN-DNI-27917556,E16
F025,SYN-DNI-79396795,E02
F026,SYN-DNI-75523048,E10
F027,SYN-DNI-22649139,E09
F028,SYN-DNI-21522547,E08
F029,SYN-DNI-47320977,E14
F030,SYN-DNI-13143743,E04
F031,SYN-DNI-30915856,E17
F032,SYN-DNI-40456793,E05
F033,SYN-DNI-77856130,E09
F034,SYN-DNI-79466288,E09
F035,SYN-DNI-20607795,E15
F036,SYN-DNI-72417407,E07
F037,SYN-DNI-16365017,E05
F038,SYN-DNI-62402560,E00
F039,SYN-DNI-69194988,E06
F040,SYN-DNI-72355473,E14
F041,SYN-DNI-25639255,E00
F042,SYN-DNI-72541263,E16
F043,SYN-DNI-18118663,E09
F044,SYN-DNI-46320084,E02
F045,SYN-DNI-42868170,E05
F046,SYN-DNI-32115033,E09
F047,SYN-DNI-11547992,E05
F048,SYN-DNI-64040869,E01
F049,SYN-DNI-33490855,E11
F050,SYN-DNI-56316287,E12
F051,SYN-DNI-38715394,E02
F052,SYN-DNI-36156040,E05
F053,SYN-DNI-72040713,E04
F054,SYN-DNI-16612666,E11
F055,SYN-DNI-61563214,E13
F056,SYN-DNI-62275272,E13
F057,SYN-DNI-36599401,E16
F058,SYN-DNI-28372235,E13
F059,SYN-DNI-10371495,E05
