id_funcionario,dni_funcionario,id_entidad,telefono,direccion
F000,SYN-DNI-17541866,E03,SYN-TEL-939174930,"SYN-DIR-Calle Los Pinos 872, Pueblo Libre"
F001,SYN-DNI-53024997,E05,SYN-TEL-929997719,"SYN-DIR-Av. La Marina 621, La Molina"
F002,SYN-DNI-74120828,E16,SYN-TEL-911026137,"SYN-DIR-Av. Javier Prado 847, Lince"
F003,SYN-DNI-78260871,E17,SYN-TEL-927599425,"SYN-DIR-Av. Arequipa 709, Surco"
F004,SYN-DNI-26114979,E10,SYN-TEL-935602980,"SYN-DIR-Av. Javier Prado 440, La Molina"
F005,SYN-DNI-26551880,E08,SYN-TEL-989082178,"SYN-DIR-Av. Los Álamos 264, San Borja"
F006,SYN-DNI-12618878,E06,SYN-TEL-956229580,"SYN-DIR-Av. La Marina 672, Surco"
F007,SYN-DNI-19888350,E11,SYN-TEL-927805789,"SYN-DIR-Jr. Las Begonias 487, Jesús María"
F008,SYN-DNI-48839672,E10,SYN-TEL-950886167,"SYN-DIR-Calle Las Camelias 558, San Borja"
F009,SYN-DNI-48276229,E05,SYN-TEL-985166345,"SYN-DIR-Av. La Marina 502, Barranco"
F010,SYN-DNI-35964559,E00,SYN-TEL-977525818,"SYN-DIR-Av. La Marina 321, Jesús María"
F011,SYN-DNI-31696880,E02,SYN-TEL-993992297,"SYN-DIR-Av. Arequipa 952, Surco"
F012,SYN-DNI-68085281,E17,SYN-TEL-973658384,"SYN-DIR-Calle Las Camelias 869, San Borja"
F013,SYN-DNI-42202374,E07,SYN-TEL-919778281,"SYN-DIR-Av. La Marina 339, San Borja"
F014,SYN-DNI-66577602,E08,SYN-TEL-959811309,"SYN-DIR-Calle Las Camelias 379, La Molina"
F015,SYN-DNI-77424829,E08,SYN-TEL-948226577,"SYN-DIR-Calle Las Camelias 716, Miraflores"
F016,SYN-DNI-32199722,E14,SYN-TEL-982634116,"SYN-DIR-Av. Los Álamos 300, Pueblo Libre"
F017,SYN-DNI-24191681,E01,SYN-TEL-923859934,"SYN-DIR-Jr. Las Begonias 381, Jesús María"
F018,SYN-DNI-76702956,E01,SYN-TEL-951923455,"SYN-DIR-Calle Los Pinos 167, Miraflores"
F019,SYN-DNI-54438175,E04,SYN-TEL-984306901,"SYN-DIR-Calle Las Camelias 477, Surco"
F020,SYN-DNI-30364248,E08,SYN-TEL-965834688,"SYN-DIR-Av. Arequipa 518, Pueblo Libre"
F021,SYN-DNI-53530198,E12,SYN-TEL-913421154,"SYN-DIR-Jr. Las Begonias 525, Pueblo Libre"
F022,SYN-DNI-46053998,E08,SYN-TEL-983702496,"SYN-DIR-Av. Arequipa 708, La Molina"
F023,SYN-DNI-73387252,E07,SYN-TEL-943013154,"SYN-DIR-Av. Arequipa 435, Lince"
F024,SYN-DNI-27917556,E16,SYN-TEL-971028246,"SYN-DIR-Av. Javier Prado 371, Surco"
F025,SYN-DNI-79396795,E02,SYN-TEL-968795660,"SYN-DIR-Av. Javier Prado 384, Jesús María"
F026,SYN-DNI-75523048,E10,SYN-TEL-967764552,"SYN-DIR-Jr. Cusco 821, Magdalena"
F027,SYN-DNI-22649139,E09,SYN-TEL-947541945,"SYN-DIR-Av. Javier Prado 150, Miraflores"
F028,SYN-DNI-21522547,E08,SYN-TEL-946551584,"SYN-DIR-Jr. Cusco 635, Pueblo Libre"
F029,SYN-DNI-47320977,E14,SYN-TEL-919055557,"SYN-DIR-Calle Los Pinos 500, Surco"
F030,SYN-DNI-13143743,E04,SYN-TEL-960249110,"SYN-DIR-Av. Los Álamos 229, Lince"
F031,SYN-DNI-30915856,E17,SYN-TEL-936183311,"SYN-DIR-Av. Javier Prado 321, San Borja"
F032,SYN-DNI-40456793,E05,SYN-TEL-945647439,"SYN-DIR-Jr. Cusco 443, San Borja"
F033,SYN-DNI-77856130,E09,SYN-TEL-925060389,"SYN-DIR-Av. La Marina 672, Pueblo Libre"
F034,SYN-DNI-79466288,E09,SYN-TEL-976986302,"SYN-DIR-Av. La Marina 361, La Molina"
F035,SYN-DNI-20607795,E15,SYN-TEL-993059156,"SYN-DIR-Jr. Las Begonias 571, Pueblo Libre"
F036,SYN-DNI-72417407,E07,SYN-TEL-944238713,"SYN-DIR-Jr. Cusco 247, Surco"
F037,SYN-DNI-16365017,E05,SYN-TEL-948140601,"SYN-DIR-Av. Los Álamos 964, San Borja"
F038,SYN-DNI-62402560,E00,SYN-TEL-951995903,"SYN-DIR-Av. La Marina 872, San Borja"
F039,SYN-DNI-69194988,E06,SYN-TEL-916489174,"SYN-DIR-Jr. Las Begonias 330, San Borja"
F040,SYN-DNI-72355473,E14,SYN-TEL-977991137,"SYN-DIR-Av. Los Álamos 676, La Molina"
F041,SYN-DNI-25639255,E00,SYN-TEL-989285371,"SYN-DIR-Calle Las Camelias 793, San Borja"
F042,SYN-DNI-72541263,E16,SYN-TEL-955329021,"SYN-DIR-Jr. Cusco 825, Miraflores"
F043,SYN-DNI-18118663,E09,SYN-TEL-915565864,"SYN-DIR-Jr. Las Begonias 223, San Isidro"
